nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
HfNbTaTiW,22.26344,601.633,122.357,170.932,282.1157,198.4144,193.0743,195.7444,476.9284,0.218243,25.45768,0.01364,394.1458,0.693844,-20.8542,0.009246,Hf7Nb6Ta6Ti7W6C32,-667.333,712.43,1.59%,1.52%,0.10%
HfNbTaTiZr,23.2525,586.973,107.38,176.491,267.2443,201.8132,197.3287,199.5709,479.3827,0.201033,28.05901,0.011235,390.1646,0.746773,-20.3772,0.024598,Hf7Nb6Ta6Ti7Zr6C32,-652.07,744.08,3.69%,2.14%,0.13%
HfNbTaVW,21.8775,589.779,125.077,167.798,279.9777,193.6192,188.7768,191.198,467.235,0.221862,24.58925,0.012663,386.9335,0.682904,-20.8238,0.017399,Hf7Nb6Ta6V7W6C32,-666.363,700.08,1.74%,1.56%,0.09%
HfNbTaVZr,22.81,554.215,113.726,168.225,260.5557,189.0328,185.7764,187.4046,453.4897,0.209921,25.71512,0.008688,372.1299,0.71925,-20.3538,0.019838,Hf7Nb6Ta6V7Zr6C32,-651.321,729.92,1.80%,1.52%,0.25%
HfNbTaWZr,23.23906,592.618,110.241,166.545,271.0333,196.4024,190.0749,193.2387,468.398,0.211968,26.01863,0.016372,386.5996,0.71297,-21.0715,0.008885,Hf7Nb6Ta6W7Zr6C32,-674.29,743.65,1.91%,1.74%,0.40%
HfNbTiVW,21.41094,601.945,124.231,196.603,283.469,213.5046,211.574,212.5393,510.1243,0.20007,29.47233,0.004542,409.0205,0.74978,-20.1939,0.017524,Hf7Nb6Ti6V7W6C32,-646.205,685.15,1.63%,1.42%,1.16%
HfNbTiVZr,22.40813,498.272,122.014,171.729,247.4333,178.289,177.9335,178.1112,430.9334,0.209731,24.82855,0.000998,352.4864,0.719835,-19.6534,0.02278,Hf7Nb6Ti6V7Zr6C32,-628.909,717.06,1.84%,1.53%,1.93%
HfNbTiWZr,22.87906,593.079,107.444,169.812,269.3223,199.0142,193.0261,196.0201,473.2465,0.207137,26.90686,0.015274,387.1324,0.727827,-20.4127,0.009531,Hf7Nb6Ti6W7Zr6C32,-653.205,732.13,4.80%,2.86%,0.07%
HfNbVWZr,22.50281,576.279,108.667,165.68,264.5377,192.9304,187.5378,190.2341,460.3528,0.209964,25.98403,0.014174,376.93,0.719119,-20.404,0.009925,Hf7Nb6V6W7Zr6C32,-652.927,720.09,1.83%,1.74%,0.03%
HfTaTiVW,21.4175,579.537,121.165,171.179,273.9557,194.3818,190.4613,192.4216,467.7513,0.215434,25.50313,0.010187,382.6148,0.702382,-20.5168,0.008693,Hf7Ta6Ti6V7W6C32,-656.538,685.36,1.65%,1.52%,0.33%
HfTaTiVZr,22.39375,515.405,120.621,172.637,252.2157,182.539,181.7546,182.1468,440.4188,0.208967,25.31924,0.002153,359.847,0.722187,-19.9858,0.007808,Hf7Ta6Ti6V7Zr6C32,-639.545,716.6,1.68%,1.42%,0.24%
HfTaTiWZr,22.84594,568.4,117.29,171.283,267.66,192.9918,189.524,191.2579,463.3989,0.211451,25.89483,0.009066,381.1269,0.714555,-20.7326,0.008362,Hf7Ta6Ti6W7Zr6C32,-663.444,731.07,1.55%,2.03%,0.11%
HfTaVWZr,22.49875,558.607,120.963,168.326,266.8443,188.5244,185.4434,186.9839,454.7369,0.215979,24.92363,0.008239,375.3106,0.700723,-20.7222,0.028347,Hf7Ta6V6W7Zr6C32,-663.111,719.96,2.08%,1.93%,0.07%
HfTiVWZr,22.13125,543.986,113.567,166.278,257.04,185.8506,182.9134,184.382,446.4061,0.210547,25.34356,0.007965,364.7768,0.717328,-20.0758,0.008019,Hf7Ti6V6W7Zr6C32,-642.427,708.2,2.05%,1.82%,0.12%
MoNbTaTiV,20.90094,674.444,97.548,174.089,289.8467,219.8326,206.9003,213.3665,513.9798,0.204453,28.94278,0.030305,412.7384,0.736136,-20.0582,0.028039,Mo7Nb6Ta6Ti7V6C32,-641.862,668.83,3.31%,1.96%,0.44%
MoNbTaTiW,21.41875,623.791,126.588,160.049,292.3223,195.47,186.6419,191.056,470.6353,0.231669,23.37998,0.023103,393.8314,0.65358,-20.6073,0.029548,Mo7Nb6Ta6Ti7W6C32,-659.434,685.4,1.78%,1.46%,1.40%
MoNbTaTiZr,22.29719,529.14,161.55,153.101,284.08,165.3786,164.0603,164.7195,414.1183,0.257041,18.37046,0.004002,362.9118,0.579835,-20.1441,0.009943,Mo7Nb6Ta6Ti7Zr6C32,-644.612,713.51,1.84%,4.49%,2.65%
MoNbTaVW,21.06719,537.571,147.311,151.064,277.3977,168.6904,166.0649,167.3777,418.051,0.248826,19.44025,0.007843,358.0975,0.603385,-20.5735,0.009904,Mo7Nb6Ta6V7W6C32,-658.353,674.15,1.58%,1.61%,0.29%
MoNbTaVZr,21.8925,546.787,134.77,159.655,272.109,178.1964,175.4456,176.821,436.0189,0.232939,21.98797,0.007778,366.8774,0.649817,-20.1228,0.009358,Mo7Nb6Ta6V7Zr6C32,-643.928,700.56,1.70%,1.67%,0.23%
MoNbTaWZr,22.44813,511.194,165.003,146.726,280.4,157.2738,156.2471,156.7605,396.4092,0.264379,17.01671,0.003275,352.1307,0.55906,-20.7721,0.01846,Mo7Nb6Ta6W7Zr6C32,-664.707,718.34,1.01%,1.49%,0.98%
MoNbTiVW,20.50688,590.961,131.303,163.897,284.5223,190.2698,185.142,187.7059,461.6068,0.229601,23.33588,0.013659,382.3376,0.659723,-19.9983,0.028681,Mo7Nb6Ti6V7W6C32,-639.946,656.22,2.26%,2.55%,0.18%
MoNbTiVZr,21.4725,553.886,108.957,168.717,257.2667,190.216,186.7661,188.4911,454.4791,0.205572,26.36897,0.009151,367.128,0.732668,-19.4837,0.006967,Mo7Nb6Ti6V7Zr6C32,-623.479,687.12,4.31%,2.52%,5.25%
MoNbTiWZr,22.05281,582.572,89.474,153.05,253.84,190.4496,180.418,185.4338,447.3657,0.206268,25.97835,0.027049,363.3165,0.730515,-20.1676,0.024575,Mo7Nb6Ti6W7Zr6C32,-645.363,705.69,2.34%,1.22%,0.06%
MoNbVWZr,21.72375,494.654,135.203,148.791,255.02,161.1648,159.7924,160.4786,397.96,0.239916,19.79282,0.004276,337.9233,0.629279,-20.1462,0.013744,Mo7Nb6V6W7Zr6C32,-644.678,695.16,2.62%,2.18%,0.15%
MoTaTiVW,20.5325,608.514,128.843,160.183,288.7333,192.044,184.7225,188.3833,464.1954,0.232051,23.10233,0.019432,385.9312,0.652447,-20.3136,0.017514,Mo7Ta6Ti6V7W6C32,-650.036,657.04,2.24%,2.05%,1.85%
MoTaTiVZr,21.47938,528.984,123.928,161.475,258.9467,177.8962,175.7228,176.8095,432.0855,0.221895,23.26031,0.006146,356.748,0.682803,-19.8115,0.009789,Mo7Ta6Ti6V7Zr6C32,-633.967,687.34,1.68%,1.62%,0.21%
MoTaTiWZr,22.0425,591.163,103.752,154.969,266.2223,190.4636,181.3872,185.9254,452.4486,0.216748,24.72947,0.024409,372.5362,0.698384,-20.4861,0.009518,Mo7Ta6Ti6W7Zr6C32,-655.556,705.36,2.00%,1.59%,0.35%
MoTaVWZr,21.72938,496.439,140.787,143.323,259.3377,157.1242,155.3823,156.2533,390.3611,0.249129,18.48576,0.005574,336.2703,0.602509,-20.4609,0.01163,Mo7Ta6V6W7Zr6C32,-654.75,695.34,2.62%,1.99%,0.61%
MoTiVWZr,21.275,537.676,124.812,152.508,262.4333,174.0776,170.3025,172.1901,423.8665,0.23081,21.81715,0.010962,353.8548,0.656129,-19.8581,0.005406,Mo7Ti6V6W7Zr6C32,-635.459,680.8,1.78%,1.83%,0.17%
NbTaTiVW,20.89281,672.529,113.069,174.974,299.5557,216.8764,205.8023,211.3394,513.3044,0.214408,27.39187,0.0262,417.5692,0.70551,-20.4381,0.009394,Nb7Ta6Ti6V7W6C32,-654.021,668.57,2.35%,1.74%,0.28%
NbTaTiVZr,21.84563,571.533,125.637,183.339,274.269,199.1826,197.3645,198.2736,479.3183,0.20873,26.91749,0.004585,389.8955,0.722916,-19.9275,0.016536,Nb7Ta6Ti6V7Zr6C32,-637.679,699.06,2.25%,2.79%,2.86%
NbTaTiWZr,22.345,564.451,159.401,164.747,294.4177,179.8582,178.0306,178.9444,446.3949,0.247301,20.55137,0.005107,385.216,0.607791,-20.6237,0.007266,Nb7Ta6Ti6W7Zr6C32,-659.958,715.04,1.81%,4.38%,0.21%
NbTaVWZr,21.99313,585.347,132.55,169.309,283.4823,192.1448,188.3022,190.2235,466.358,0.225816,24.01641,0.0101,388.6956,0.671024,-20.6073,0.020461,Nb7Ta6V6W7Zr6C32,-659.434,703.78,1.90%,1.41%,0.15%
NbTiVWZr,21.62188,582.413,121.257,163.646,274.9757,190.4188,185.1433,187.7811,458.8854,0.221863,24.27715,0.014047,379.2759,0.682901,-19.9862,0.04454,Nb7Ti6V6W7Zr6C32,-639.557,691.9,1.95%,1.67%,0.23%
TaTiVWZr,21.59594,581.779,127.064,166.217,278.6357,190.6732,186.2515,188.4624,461.3678,0.224032,24.07524,0.011731,382.4072,0.676376,-20.3622,0.037295,Ta7Ti6V6W7Zr6C32,-651.589,691.07,1.80%,1.56%,0.18%
CrHfMoNb,21.58906,522.123,120.145,147.169,254.1377,168.697,164.8233,166.7601,410.4943,0.230793,21.32969,0.011615,343.5207,0.65618,-19.8605,0.029649,Cr8Hf8Mo8Nb8C32,-635.535,690.85,1.80%,1.61%,0.12%
CrHfMoTa,21.59688,526.499,138.037,153.169,267.5243,169.5938,167.3179,168.4559,417.6955,0.239777,20.49947,0.006755,354.2609,0.629684,-20.2904,0.034532,Cr8Hf8Mo8Ta8C32,-649.292,691.1,1.73%,1.60%,0.05%
CrHfMoTi,20.97,500.871,94.8577,148.467,230.1955,170.2829,166.3428,168.3128,405.989,0.206055,24.2812,0.011704,326.8688,0.731174,-19.4231,0.041396,Cr8Hf8Mo8Ti8C32,-621.54,671.04,1.87%,0.96%,0.16%
CrHfMoV,20.50156,478.283,129.422,139.245,245.709,153.3192,151.4663,152.3927,378.8544,0.24302,18.76931,0.006079,320.1281,0.620216,-19.4628,0.027328,Cr8Hf8Mo8V8C32,-622.811,656.05,1.85%,1.80%,0.18%
CrHfMoW,21.30375,465.443,129.745,128.048,241.6443,143.9684,141.466,142.7172,357.7262,0.253269,16.94825,0.008767,309.1974,0.590608,-20.2026,0.044708,Cr8Hf8Mo8W8C32,-646.484,681.72,2.13%,1.99%,0.10%
CrHfMoZr,22.47094,420.183,120.27,139.494,220.241,143.679,143.4988,143.5889,353.8645,0.232214,19.04586,0.000628,298.7306,0.651963,-19.5473,0.027327,Cr8Hf8Mo8Zr8C32,-625.513,719.07,1.96%,1.83%,1.85%
CrHfNbTa,22.03406,475.767,144.753,157.407,255.091,160.647,160.55,160.5985,398.2249,0.239815,19.81383,0.000302,338.8967,0.629573,-20.4179,0.037953,Cr8Hf8Nb8Ta8C32,-653.371,705.09,2.35%,1.96%,0.30%
CrHfNbTi,21.42844,501.929,119.142,157.865,246.7377,171.2764,169.7605,170.5185,415.7756,0.219151,22.98446,0.004445,341.8497,0.691092,-19.5306,0.02072,Cr8Hf8Nb8Ti8C32,-624.98,685.71,1.81%,2.39%,2.54%
CrHfNbV,20.945,4.02E+02,153.175,123.444,236,123.7614,123.7602,123.7608,316.0379,0.276809,13.38452,0.00000493,283.7446,0.52441,-19.5596,0.03765,Cr8Hf8Nb8V8C32,-625.907,670.24,2.07%,1.63%,2.25%
CrHfNbW,21.65313,542.835,108.049,140.871,252.9777,171.4798,163.9559,167.7178,412.086,0.22851,21.66866,0.02243,343.8884,0.662975,-20.3405,0.013521,Cr8Hf8Nb8W8C32,-650.894,692.9,1.70%,2.52%,0.22%
CrHfNbZr,22.88406,448.953,106.304,140.796,220.5203,153.0074,151.6016,152.3045,371.408,0.219294,21.20273,0.004615,308.7945,0.69066,-19.6665,0.034873,Cr8Hf8Nb8Zr8C32,-629.327,732.29,1.72%,1.75%,0.25%
CrHfTaTi,21.46344,459.186,147.467,156.27,251.3733,156.1058,156.1055,156.1057,387.9996,0.242747,19.11976,0.00000083,330.2317,0.621011,-19.9769,0.041133,Cr8Hf8Ta8Ti8C32,-639.261,686.83,0.88%,1.53%,0.24%
CrHfTaV,20.95469,472.173,138.13,146.514,249.4777,154.717,154.0815,154.3992,383.9832,0.243475,18.89788,0.002058,325.8757,0.61889,-19.9985,0.037285,Cr8Hf8Ta8V8C32,-639.951,670.55,1.94%,1.75%,0.38%
CrHfTaW,21.64656,524.334,132.633,143.273,263.2,164.304,160.5089,162.4065,404.1027,0.244109,19.52027,0.011684,345.1512,0.617046,-20.7605,0.028107,Cr8Hf8Ta8W8C32,-664.334,692.69,1.82%,1.75%,0.06%
CrHfTaZr,22.86656,504.431,86.0277,150.253,225.4955,173.8325,169.3395,171.586,410.6097,0.196513,25.75664,0.013092,331.393,0.760929,-20.1064,0.044714,Cr8Hf8Ta8Zr8C32,-643.406,731.73,2.12%,3.60%,0.25%
CrHfTiV,20.31719,451.783,117.425,141.226,228.8777,151.6072,150.5762,151.0917,371.5226,0.229461,20.02708,0.003412,307.1845,0.660142,-19.1211,0.022402,Cr8Hf8Ti8V8C32,-611.875,650.15,1.80%,1.80%,0.39%
CrHfTiW,21.06875,503.59,124.365,148.371,250.7733,164.8676,162.5096,163.6886,403.3135,0.231953,20.92517,0.007203,336.7103,0.652735,-19.9415,0.021194,Cr8Hf8Ti8W8C32,-638.127,674.2,1.89%,1.68%,0.15%
CrHfTiZr,22.38781,414.775,110.856,139.655,212.1623,144.5768,144.3297,144.4532,353.1997,0.22254,20.09383,0.000855,293.9001,0.680862,-19.1608,0.018815,Cr8Hf8Ti8Zr8C32,-613.146,716.41,1.78%,1.72%,0.06%
CrHfVW,20.59125,496.104,112.288,141.873,240.2267,161.887,158.3916,160.1393,393.0744,0.227289,21.10183,0.010914,324.7182,0.666617,-19.9613,0.027238,Cr8Hf8V8W8C32,-638.762,658.92,1.91%,2.04%,0.16%
CrHfVZr,21.82,400.334,99.284,134.695,199.634,141.027,140.6099,140.8185,342.0338,0.214449,20.54462,0.001481,280.2783,0.705383,-19.2029,0.036938,Cr8Hf8V8Zr8C32,-614.492,698.24,5.07%,3.63%,0.10%
CrHfWZr,22.45875,468.661,113.816,132.388,232.0977,150.4018,147.3484,148.8751,367.9529,0.235777,19.18124,0.010255,312.2319,0.641433,-20.0516,0.016323,Cr8Hf8W8Zr8C32,-641.652,718.68,1.98%,1.87%,0.33%
CrMoNbTa,20.96531,535.109,155.589,141.511,282.0957,160.8106,157.5329,159.1718,401.921,0.262539,17.38321,0.010296,351.8694,0.564247,-20.1705,0.049989,Cr8Mo8Nb8Ta8C32,-645.455,670.89,1.36%,1.80%,0.27%
CrMoNbV,19.75938,446.606,193.937,132.191,278.16,129.8484,129.7844,129.8164,337.0204,0.298066,12.12601,0.000246,312.4456,0.466697,-19.3901,0.035652,Cr8Mo8Nb8V8C32,-620.484,632.3,1.42%,1.84%,0.83%
CrMoNbW,20.69031,469.663,157.375,110.495,261.471,128.7546,125.1275,126.9411,327.7789,0.291067,12.48312,0.014287,301.8612,0.485488,-20.077,0.027214,Cr8Mo8Nb8W8C32,-642.465,662.09,1.87%,1.81%,0.43%
CrMoNbZr,21.81938,537.634,58.384,126.29,218.134,171.624,155.7573,163.6906,392.8143,0.199868,24.52073,0.048466,315.8741,0.750413,-19.4498,0.057877,Cr8Mo8Nb8Zr8C32,-622.395,698.22,2.06%,3.23%,0.26%
CrMoTaTi,20.28313,496.305,164.814,160.339,275.311,162.5016,162.4587,162.4802,407.3126,0.253423,18.56244,0.000132,349.2752,0.59017,-19.8085,0.036947,Cr8Mo8Ta8Ti8C32,-633.872,649.06,3.58%,2.31%,3.78%
CrMoTaV,19.82625,490.905,182.101,140.649,285.0357,146.1502,145.8453,145.9978,374.1178,0.281245,14.64827,0.001044,335.6058,0.512209,-19.817,0.033325,Cr8Mo8Ta8V8C32,-634.145,634.44,1.50%,1.82%,0.74%
CrMoTaW,20.59719,546.449,172.429,120.054,297.1023,146.8364,140.1213,143.4788,370.7541,0.292017,13.53216,0.023401,341.8338,0.482927,-20.497,0.029995,Cr8Mo8Ta8W8C32,-655.906,659.11,1.80%,1.70%,0.72%
CrMoTaZr,21.79719,533.936,106.342,135.616,248.8733,166.8884,158.8514,162.8699,401.1103,0.231383,20.91254,0.024673,336.4933,0.654429,-19.8766,0.043706,Cr8Mo8Ta8Zr8C32,-636.05,697.51,1.93%,1.82%,0.16%
CrMoTiV,19.03844,566.468,126.276,159.035,273.0067,183.4594,178.8863,181.1728,445.0667,0.228293,22.91082,0.012621,363.4169,0.663621,-19.0282,0.025096,Cr8Mo8Ti8V8C32,-608.901,609.23,1.19%,2.81%,0.93%
CrMoTiW,19.99375,488.946,160.857,134.005,270.22,146.0208,144.5963,145.3085,369.6643,0.271998,15.42951,0.004902,326.4525,0.537742,-19.7334,0.009913,Cr8Mo8Ti8W8C32,-631.468,639.8,1.55%,1.77%,0.26%
CrMoTiZr,21.22625,470.687,87.0443,124.421,214.9252,151.3811,144.7679,148.0745,361.2593,0.219857,20.72589,0.022331,296.8447,0.688958,-19.0279,0.018906,Cr8Mo8Ti8Zr8C32,-608.893,679.24,1.92%,2.27%,0.70%
CrMoVW,19.54063,433.583,167.562,123.871,256.2357,127.5268,127.3718,127.4493,327.9713,0.286673,12.86804,0.000608,296.5821,0.497391,-19.741,0.045764,Cr8Mo8V8W8C32,-631.713,625.3,2.41%,2.04%,0.37%
CrMoVZr,20.71969,497.889,88.4387,121.487,224.9221,154.7823,145.0823,149.9323,368.0227,0.227296,20.13974,0.032348,304.3413,0.666596,-19.055,0.0099,Cr8Mo8V8Zr8C32,-609.761,663.03,2.98%,1.92%,0.57%
CrMoWZr,21.58125,481.294,92.578,118.04,222.15,148.5672,140.0348,144.301,355.8531,0.233023,19.03281,0.029564,298.7473,0.649566,-19.8054,0.057191,Cr8Mo8W8Zr8C32,-633.772,690.6,1.99%,2.04%,0.42%
CrNbTaTi,20.75781,531.062,151.809,149.543,278.2267,165.5764,163.3551,164.4657,412.1809,0.25309,18.7571,0.006753,354.6234,0.591121,-19.9185,0.029151,Cr8Nb8Ta8Ti8C32,-637.391,664.25,3.07%,1.84%,3.79%
CrNbTaV,20.28844,565.313,146.157,154.637,285.8757,176.6134,172.7518,174.6826,435.3709,0.246177,20.32661,0.011053,369.0525,0.611044,-19.9378,0.028986,Cr8Nb8Ta8V8C32,-638.01,649.23,1.76%,1.47%,0.21%
CrNbTaW,21.03781,490.535,191.006,133.45,290.849,139.9758,139.5298,139.7528,361.3778,0.292918,13.20651,0.001596,334.9764,0.4805,-20.6381,0.022022,Cr8Nb8Ta8W8C32,-660.419,673.21,2.47%,1.73%,1.15%
CrNbTaZr,22.19906,541.165,112.594,152.825,255.451,177.4092,172.6302,175.0197,427.4403,0.22112,23.18326,0.013653,354.4756,0.68514,-20.0148,0.030944,Cr8Nb8Ta8Zr8C32,-640.472,710.37,1.77%,1.71%,0.07%
CrNbTiV,19.59281,550.552,127.944,162.134,268.8133,181.802,178.7741,180.2881,442.0413,0.22593,23.10795,0.008397,361.4584,0.670681,-19.1126,0.007639,Cr8Nb8Ti8V8C32,-611.602,626.97,1.50%,1.48%,0.31%
CrNbTiW,20.39469,547.621,137.936,150.178,274.4977,172.0438,168.1243,170.0841,422.9054,0.243225,20.26487,0.011522,357.1527,0.619619,-19.8605,0.00703,Cr8Nb8Ti8W8C32,-635.535,652.63,2.16%,1.78%,0.10%
CrNbTiZr,21.67188,494.95,101.365,146.108,232.56,166.3818,162.889,164.6354,399.6084,0.213616,23.04215,0.010608,326.7221,0.707927,-19.1309,0.052505,Cr8Nb8Ti8Zr8C32,-612.188,693.5,1.71%,1.89%,0.20%
CrNbVW,19.91094,477.336,157.652,140.14,264.2133,148.0208,147.4077,147.7143,373.5323,0.264375,16.31585,0.002075,325.2399,0.559072,-19.8732,0.054737,Cr8Nb8V8W8C32,-635.941,637.15,2.90%,2.64%,0.39%
CrNbVZr,21.07781,506.753,106.287,135.036,239.7757,161.1148,155.257,158.1859,389.011,0.229601,20.6735,0.018515,323.6861,0.659725,-19.1546,0.069889,Cr8Nb8V8Zr8C32,-612.946,674.49,2.00%,2.10%,2.82%
CrNbWZr,21.83063,465.062,140.529,134.214,248.7067,145.435,144.1846,144.8098,363.8182,0.256193,16.84859,0.004317,317.2637,0.582251,-19.9354,0.009817,Cr8Nb8W8Zr8C32,-637.933,698.58,2.29%,2.01%,0.41%
CrTaTiV,19.62688,530.597,138.315,165.068,269.0757,177.4972,176.2358,176.8665,435.2374,0.230412,22.2806,0.003566,358.2904,0.657311,-19.5548,0.021397,Cr8Ta8Ti8V8C32,-625.754,628.06,0.74%,1.00%,0.28%
CrTaTiW,20.41875,535.879,144.884,151.528,275.2157,169.1158,166.5078,167.8118,418.3967,0.246625,19.70956,0.007771,355.2925,0.609746,-20.2873,0.033149,Cr8Ta8Ti8W8C32,-649.192,653.4,1.77%,1.60%,0.20%
CrTaTiZr,21.64438,527.093,96.8567,157.806,240.2688,180.7309,176.6291,178.68,429.5574,0.20203,25.82349,0.011478,345.8949,0.743667,-19.5789,0.025832,Cr8Ta8Ti8Zr8C32,-626.524,692.62,2.40%,2.11%,0.18%
CrTaVW,19.96031,533.927,149.053,144.413,277.3443,163.6226,160.4273,162.025,406.8478,0.25551,18.31275,0.009861,349.1364,0.584201,-20.2932,0.028767,Cr8Ta8V8W8C32,-649.382,638.73,2.36%,2.00%,0.15%
CrTaVZr,21.08531,526.193,111.34,150.731,249.6243,173.4092,169.2335,171.3214,418.2745,0.220731,22.87994,0.012187,343.7261,0.686317,-19.5926,0.037467,Cr8Ta8V8Zr8C32,-626.962,674.73,1.82%,2.24%,0.06%
CrTaWZr,21.84031,530.502,116.199,135.403,254.3,164.1024,157.1791,160.6407,398.0966,0.23909,19.89357,0.021549,337.9176,0.631698,-20.3652,0.043389,Cr8Ta8W8Zr8C32,-651.685,698.89,1.91%,1.96%,0.12%
CrTiVW,19.18219,568.801,127.596,159.481,274.6643,183.9296,179.3587,181.6441,446.5035,0.229061,22.863,0.012582,365.4502,0.661331,-19.5308,0.037048,Cr8Ti8V8W8C32,-624.985,613.83,1.68%,1.90%,0.16%
CrTiVZr,20.46469,577.528,33.357,120.141,214.7473,180.9188,154.6968,167.8078,399.3924,0.190029,26.1315,0.078131,313.9575,0.78142,-18.7144,0.087272,Cr8Ti8V8Zr8C32,-598.861,654.87,1.60%,3.72%,3.70%
CrTiWZr,21.23531,482.169,123.749,139.787,243.2223,155.5562,153.274,154.4151,382.3342,0.238008,19.45515,0.00739,322.4951,0.634872,-19.5326,0.032697,Cr8Ti8W8Zr8C32,-625.044,679.53,1.83%,1.79%,0.24%
CrVWZr,20.73188,408.397,154.815,133.972,239.3423,131.0996,131.0042,131.0519,332.4737,0.268481,14.63947,0.000364,293.5426,0.54755,-19.543,0.027985,Cr8V8W8Zr8C32,-625.375,663.42,2.38%,2.45%,0.25%
HfMoNbTa,22.69344,601.448,122.166,165.261,281.9267,195.013,188.6869,191.85,469.1351,0.222661,24.54977,0.016487,391.3202,0.680496,-20.9342,0.02154,Hf8Mo8Nb8Ta8C32,-669.893,726.19,1.71%,1.56%,0.09%
HfMoNbTi,22.16031,549.279,129.434,167.1,269.3823,184.229,181.9462,183.0876,447.8103,0.22294,23.71723,0.006234,372.2003,0.679657,-20.0746,0.008337,Hf8Mo8Nb8Ti8C32,-642.386,709.13,1.48%,1.49%,0.15%
