nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
CrTiV,18.43469,522.337,136.878,159.587,265.3643,172.844,171.3751,172.1096,424.5451,0.233357,21.5248,0.004267,347.3466,0.648578,-18.7017,0.035518,Cr10Ti11V11C32,-598.453,589.91,1.93%,1.67%,0.47%
CrTiW,19.67125,461.912,162.244,147.868,262.1333,148.6544,148.6482,148.6513,375.0576,0.261535,16.65633,0.0000209,324.3278,0.567083,-19.723,0.023085,Cr10Ti11W11C32,-631.135,629.48,2.75%,0.96%,0.15%
CrVW,19.05,517.697,114.598,136.66,248.9643,162.6158,156.8607,159.7383,394.7825,0.235717,20.16831,0.018014,325.9034,0.641611,-19.7625,0.039349,Cr10V11W11C32,-632.4,609.6,1.18%,1.19%,0.21%
CrVZr,20.905,397.767,89.7393,120.973,192.4152,134.1893,132.3285,133.2589,324.7965,0.218667,19.34961,0.006982,265.7722,0.692559,-18.6954,0.026378,Cr10V11Zr11C32,-598.251,668.96,2.27%,2.22%,0.51%
CrWZr,21.95,431.053,95.9553,114.383,207.6545,135.6493,131.0118,133.3306,329.4754,0.235558,17.76095,0.017391,278.4249,0.642079,-19.7864,0.017054,Cr10W11Zr11C32,-633.166,702.4,1.85%,1.97%,0.16%
HfMoNb,22.77438,546.728,112.316,154.013,257.12,179.2902,174.2967,176.7934,431.4852,0.220309,23.44436,0.014123,358.9567,0.687591,-20.4751,0.009723,Hf10Mo11Nb11C32,-655.204,728.78,1.73%,1.69%,0.21%
HfMoTa,22.75188,534.213,135.137,156.713,268.1623,173.843,171.43,172.6365,426.4061,0.234983,21.38992,0.006989,362.1885,0.643776,-21.0618,0.009362,Hf10Mo11Ta11C32,-673.977,728.06,1.70%,1.57%,0.16%
HfMoTi,22.00031,419.033,170.977,160.073,253.6623,145.655,143.4027,144.5289,364.3821,0.260586,16.41591,0.007792,320.5114,0.569769,-19.8696,0.00803,Hf10Mo11Ti11C32,-635.826,704.01,3.13%,1.53%,0.63%
HfMoV,21.37344,432.893,135.487,145.969,234.6223,147.0626,147.0504,147.0565,364.9267,0.24077,18.52194,0.0000413,309.4372,0.62678,-19.8584,0.007358,Hf10Mo11V11C32,-635.468,683.95,2.55%,2.48%,0.11%
HfMoZr,23.99313,500.139,98.6937,151.691,232.5088,171.3037,168.1178,169.7107,409.4995,0.206463,24.37586,0.009386,337.3563,0.729911,-20.1068,0.007577,Hf10Mo11Zr11C32,-643.416,767.78,1.69%,1.53%,0.15%
HfNbTa,23.22031,636.225,112.181,176.99,286.8623,211.0028,203.3921,207.1975,500.9759,0.208934,27.74229,0.018366,411.788,0.722289,-21.3047,0.006072,Hf10Nb11Ta11C32,-681.75,743.05,1.34%,1.31%,0.10%
HfNbV,21.93594,560.931,110.748,166.141,260.809,189.7212,185.5823,187.6517,454.0573,0.20984,25.74925,0.011028,370.138,0.719499,-20.0469,0.019198,Hf10Nb11V11C32,-641.5,701.95,1.48%,1.55%,0.28%
HfNbW,22.75344,555.918,124.681,157.5,268.4267,180.7474,176.5333,178.6404,438.6194,0.22766,22.75702,0.011795,368.6185,0.665509,-21.132,0.00774,Hf10Nb11W11C32,-676.225,728.11,1.60%,1.45%,0.16%
HfNbZr,24.45281,539.469,110.729,169.506,253.6423,187.4516,184.9923,186.2219,448.8248,0.20508,26.20563,0.006603,370.2665,0.734191,-20.3407,0.005103,Hf10Nb11Zr11C32,-650.903,782.49,1.35%,1.25%,0.27%
HfTaTi,22.59875,557.787,125.38,183.834,269.5157,196.7818,195.5446,196.1632,473.5908,0.207135,26.92112,0.003154,386.6175,0.727836,-20.6804,0.008146,Hf10Ta11Ti11C32,-661.771,723.16,1.43%,1.26%,0.15%
HfTaV,21.94375,578.476,115.192,173.084,269.62,196.5072,192.5548,194.531,470.4497,0.20919,26.49763,0.010159,383.1971,0.721501,-20.6537,0.015463,Hf10Ta11V11C32,-660.919,702.2,1.49%,1.46%,0.45%
HfTaW,22.70719,594.041,124.573,160.218,281.0623,190.0244,183.5215,186.7729,458.7106,0.22799,23.44625,0.017409,385.5543,0.664525,-21.6998,0.00744,Hf10Ta11W11C32,-694.393,726.63,2.41%,1.71%,0.28%
HfTaZr,24.38469,558.392,113.794,177.277,261.9933,195.2858,192.9045,194.0952,466.969,0.202938,27.26333,0.006134,384.0066,0.74084,-20.9494,0.009367,Hf10Ta11Zr11C32,-670.382,780.31,1.38%,1.25%,0.24%
HfTiV,21.15125,517.673,108.147,161.683,244.6557,178.915,176.5399,177.7274,429.2427,0.207587,25.04941,0.006682,346.7721,0.726439,-19.4028,0.009788,Hf10Ti11V11C32,-620.889,676.84,1.81%,1.56%,0.36%
HfTiW,21.99125,604.51,103.905,170.595,270.7733,202.478,195.497,198.9875,479.5026,0.204856,27.49467,0.017541,388.5296,0.734886,-20.5662,0.007162,Hf10Ti11W11C32,-658.118,703.72,1.56%,1.50%,0.36%
HfVW,21.42,529.504,124.308,151.851,259.3733,172.1498,168.7594,170.4546,419.474,0.230457,21.70066,0.009945,350.405,0.657179,-20.5395,0.026468,Hf10V11W11C32,-657.263,685.44,2.04%,1.93%,0.14%
HfVZr,23.26406,444.551,105.47,150.887,218.497,158.3484,157.8332,158.0908,382.1143,0.208528,22.95202,0.00163,314.0197,0.723538,-19.5748,0.031507,Hf10V11Zr11C32,-626.393,744.45,1.63%,1.65%,0.37%
HfWZr,23.89906,522.439,104.514,157.623,243.8223,178.1588,174.8016,176.4802,426.5318,0.208441,24.82215,0.009511,352.0586,0.723807,-20.7855,0.009292,Hf10W11Zr11C32,-665.137,764.77,1.77%,1.47%,0.23%
MoNbTa,22.05094,614.987,141.53,154.651,299.349,187.482,179.5525,183.5172,457.1354,0.245484,21.12795,0.021604,392.4929,0.613054,-20.8904,0.007686,Mo10Nb11Ta11C32,-668.494,705.63,1.45%,1.17%,0.34%
MoNbTi,21.25125,568.64,126.52,168.181,273.8933,189.3326,185.9756,187.6541,458.2971,0.221122,24.35586,0.008945,377.3119,0.685136,-19.7836,0.006353,Mo10Nb11Ti11C32,-633.074,680.04,1.61%,1.75%,0.04%
MoNbV,20.59375,556.08,139.08,159.313,278.08,178.9878,175.9128,177.4503,438.9766,0.2369,21.59302,0.008665,367.7724,0.638127,-19.7733,0.036475,Mo10Nb11V11C32,-632.745,659,2.87%,2.50%,0.36%
MoNbW,21.69188,422.309,136.662,124.701,231.8777,131.95,131.3686,131.6593,332.1192,0.261283,15.30652,0.002208,291.7907,0.567796,-20.6997,0.025054,Mo10Nb11W11C32,-662.39,694.14,1.47%,0.92%,0.37%
MoNbZr,23.18281,520.189,117.329,151.199,251.6157,171.2914,167.952,169.6217,415.4984,0.22478,22.26088,0.009844,348.8488,0.67413,-19.9553,0.008785,Mo10Nb11Zr11C32,-638.571,741.85,1.63%,1.91%,0.22%
MoTaTi,21.26469,607.222,130.439,165.777,289.3667,194.8228,188.7778,191.8003,471.276,0.228559,23.82198,0.015758,392.1258,0.662828,-18.9553,0.007175,Mo10Ta11Ti11C32,-652.018,680.47,1.74%,1.54%,1.01%
MoTaV,20.65,554.075,146.989,160.37,282.6843,177.6392,175.2377,176.4384,438.1564,0.241669,20.97115,0.006806,369.914,0.624154,-17.9553,0.020512,Mo10Ta11V11C32,-651.344,660.8,3.04%,2.59%,0.21%
MoTaW,21.59844,592.637,140.355,122.562,291.1157,163.9936,150.0535,157.0236,399.2817,0.271407,16.35687,0.044389,356.7951,0.539385,-16.9553,0.009101,Mo10Ta11W11C32,-680.339,691.15,2.86%,2.14%,0.86%
MoTaZr,23.14719,540.83,120.985,150.454,260.9333,174.2414,169.6815,171.9614,422.9687,0.229836,21.90605,0.013259,357.5993,0.659024,-15.9553,0.00888,Mo10Ta11Zr11C32,-657.401,740.71,2.05%,2.00%,1.09%
MoTiV,19.67031,583.099,128.527,169.942,280.051,192.8796,189.0176,190.9486,466.7611,0.222217,24.5228,0.010113,379.9374,0.681835,-14.9553,0.009474,Mo10Ti11V11C32,-616.15,629.45,1.82%,1.66%,0.30%
MoTiW,20.76906,574.343,114.592,154.941,267.8423,184.9148,178.1733,181.544,444.2589,0.223557,23.50233,0.018567,365.5949,0.677802,-13.9553,0.007398,Mo10Ti11W11C32,-647.696,664.61,2.22%,1.90%,1.69%
MoTiZr,22.51625,428.753,135.19,152.319,233.0443,150.104,150.0546,150.0793,370.6684,0.234909,19.37859,0.000165,314.2648,0.643995,-12.9553,0.008324,Mo10Ti11Zr11C32,-618.461,720.52,2.21%,1.83%,0.65%
MoVZr,21.84875,5.43E+02,84.8733,145.022,237.4645,178.5679,169.9267,174.2473,420.0099,0.205212,24.98523,0.024796,340.1106,0.733782,-10.9553,0.020864,Mo10V11Zr11C32,-618.103,699.16,1.78%,1.82%,0.35%
MoWZr,22.7975,493.337,111.405,132.439,238.7157,155.8498,150.9434,153.3966,379.0075,0.235384,19.63212,0.015993,322.2277,0.642591,-9.95534,0.008437,Mo10W11Zr11C32,-652.146,729.52,1.80%,1.88%,0.16%
NbTaTi,21.81875,590.705,139.961,182.361,290.209,199.5654,197.4326,198.499,484.9342,0.221503,25.29587,0.005372,401.2111,0.683986,-8.95534,0.009173,Nb10Ta11Ti11C32,-658.032,698.2,0.94%,1.30%,0.22%
NbTaZr,23.6,585.991,123.598,172.613,277.729,196.0464,192.0819,194.0641,472.207,0.216626,25.50642,0.010215,393.1895,0.698754,-7.95534,0.00977,Nb10Ta11Zr11C32,-664.543,755.2,0.96%,1.31%,0.10%
NbTiV,20.31688,641.501,96.0327,186.136,277.8555,220.7753,213.216,216.9956,516.5243,0.190172,31.32693,0.017418,405.6123,0.780966,-6.95534,0.021141,Nb10Ti11V11C32,-620.279,650.14,4.66%,1.72%,4.91%
NbTiW,21.26,628.213,118.95,171.279,288.7043,204.62,197.085,200.8525,489.1281,0.21763,26.00524,0.018758,400.7982,0.695703,-5.95534,0.0067,Nb10Ti11W11C32,-653.993,680.32,1.71%,1.55%,0.23%
NbTiZr,23.05406,514.229,120.632,165.646,251.831,178.107,176.8435,177.4752,431.1443,0.21466,24.17608,0.00356,356.6548,0.704739,-4.95534,0.006306,Nb10Ti11Zr11C32,-624.161,737.73,1.46%,1.24%,0.35%
NbVZr,22.38188,551.027,90.3597,156.577,243.9155,186.0797,179.5786,182.8291,438.8415,0.200141,26.4832,0.017779,354.5073,0.749559,-3.95534,0.01262,Nb10V11Zr11C32,-623.535,716.22,1.56%,1.54%,0.12%
NbWZr,23.1475,516.942,110.449,137.881,245.9467,164.0272,158.2371,161.1321,396.7522,0.231139,20.78034,0.017967,336.0693,0.655151,-2.95534,0.009609,Nb10W11Zr11C32,-658.988,740.72,3.30%,1.99%,3.79%
TaTiW,21.27938,646.904,116.898,172.113,293.5667,209.269,200.1802,204.7246,498.333,0.217081,26.43102,0.022198,408.0984,0.69737,-1.95534,0.008274,Ta10Ti11W11C32,-670.862,680.94,1.65%,1.65%,0.15%
TaTiZr,23.0275,537.779,118.387,173.777,258.1843,188.1446,186.5594,187.352,452.5833,0.207842,25.97037,0.004231,370.967,0.725652,-0.95534,0.005349,Ta10Ti11Zr11C32,-642.089,736.88,1.43%,1.24%,0.33%
TaVZr,22.37469,564.116,97.772,162.131,253.22,190.5474,184.6319,187.5896,451.3203,0.202946,26.61221,0.015767,365.8583,0.740817,0.044663,0.022381,Ta10V11Zr11C32,-641.223,715.99,1.63%,1.48%,0.16%
TaWZr,23.10156,595.453,100.797,155.44,265.6823,192.1952,182.5718,187.3835,455.1468,0.214479,25.14646,0.025678,376.5482,0.705292,1.044663,0.012238,Ta10W11Zr11C32,-675.651,739.25,1.52%,1.68%,0.08%
TiVW,19.80063,602.264,132.798,177.353,289.2867,200.305,196.5738,198.4394,484.5289,0.220848,25.37353,0.009401,394.0863,0.685961,2.044663,0.017074,Ti10V11W11C32,-639.029,633.62,2.02%,1.81%,0.18%
TiVZr,21.68281,472.731,110.931,152.463,231.531,163.8378,162.693,163.2654,396.5794,0.214524,22.80431,0.003506,324.6666,0.705156,3.044663,0.033598,Ti10V11Zr11C32,-604.183,693.85,1.68%,4.90%,0.32%
TiWZr,22.5075,519.087,104.24,158.683,242.5223,178.1792,175.1453,176.6622,426.4415,0.20694,25.02104,0.008587,347.8048,0.728437,4.044663,0.018163,Ti10W11Zr11C32,-641.983,720.24,1.65%,1.68%,0.14%
VWZr,21.94094,523.079,105.847,150.071,244.9243,173.489,169.0472,171.2681,416.6804,0.216456,23.3664,0.012967,342.6863,0.69927,5.044663,0.012574,V10W11Zr11C32,-640.892,702.11,1.84%,1.94%,0.07%
NbTa,22.47531,733.723,102.592,179.049,312.969,233.6556,216.5157,225.0856,544.6799,0.209939,29.27416,0.038074,445.8706,0.719195,-21.3876,0.008468,Nb16Ta16C32,-684.404,719.21,1.42%,1.28%,0.59%
NbV,20.47,607.656,131.572,174.847,290.2667,200.125,195.6202,197.8726,483.7051,0.222264,25.14311,0.011383,396.3794,0.681692,-19.7024,0.025114,Nb16V16C32,-630.476,655.04,1.56%,1.36%,0.21%
NbW,21.89688,582.754,101.993,139.126,262.2467,179.6278,167.3174,173.4726,426.3988,0.229009,22.13581,0.035482,356.7528,0.661486,-21.0947,0.008105,Nb16W16C32,-675.032,700.7,1.94%,1.12%,0.31%
TaV,20.51375,651.306,120.917,178.093,297.7133,212.9336,205.0292,208.9814,508.0647,0.215574,27.01953,0.018912,412.693,0.701955,-20.5646,0.014224,Ta16V16C32,-658.068,656.44,1.49%,1.37%,0.09%
TaW,21.82688,536.937,209.968,146.81,318.9577,153.4798,153.0543,153.267,396.3205,0.292909,14.09926,0.001388,369.6206,0.480525,-21.8923,0.009198,Ta16W16C32,-700.554,698.46,1.03%,1.86%,0.23%
VW,19.6675,620.535,136.729,158.494,297.9977,191.8576,183.851,187.8543,465.7046,0.239537,22.17215,0.021311,388.7244,0.630388,-20.4036,0.030442,V16W16C32,-652.915,629.36,4.63%,4.38%,0.22%
CrHf,21.42094,414.951,117.538,114.857,216.6757,128.3968,126.3624,127.3796,319.5246,0.254222,15.55539,0.007986,276.8607,0.587881,-19.411,0.032983,Cr16Hf16C32,-621.151,685.47,2.22%,1.82%,0.99%
CrMo,19.44281,440.671,98.6837,99.7807,212.6795,128.2659,119.7253,123.9956,311.4583,0.255925,15.11814,0.034439,266.2926,0.583016,-19.0924,0.034352,Cr16Mo16C32,-610.957,622.17,2.07%,1.37%,0.31%
CrNb,20.14188,502.909,105.352,120.179,237.871,151.6188,142.7584,147.1886,366.0624,0.243515,18.26482,0.030099,308.644,0.618775,-19.3047,0.031056,Cr16Nb16C32,-617.75,644.54,2.63%,2.65%,0.50%
CrTa,20.14719,531.367,149.99,123.677,277.1157,150.4816,143.9054,147.1935,375.1573,0.274368,15.35454,0.022339,333.1532,0.531163,-20.1665,0.030046,Cr16Ta16C32,-645.328,644.71,1.66%,1.60%,1.57%
CrTi,18.59,506.478,122.171,148.841,250.2733,166.166,163.5907,164.8784,405.5723,0.229914,21.25482,0.00781,330.625,0.658793,-18.5231,0.04646,Cr16Ti16C32,-592.738,594.88,1.78%,1.68%,0.18%
CrV,17.45188,536.862,124.899,145.433,262.22,169.6524,164.8116,167.232,413.741,0.237027,20.69136,0.014473,337.2611,0.637755,-18.7279,0.009612,Cr16V16C32,-599.293,558.46,1.51%,2.19%,0.94%
CrW,19.43219,309.451,170.829,113.057,217.0363,95.5586,90.2678,92.9132,243.9307,0.312681,8.674676,0.028472,232.8405,0.4281,-20.028,0.025187,Cr16W16C32,-640.896,621.83,2.04%,4.47%,0.37%
CrZr,22.05375,432.336,45.689,98.318,174.5713,136.3202,122.3733,129.3467,311.1841,0.202906,20.45755,0.053913,251.639,0.740939,-18.5829,0.047113,Cr16Zr16C32,-594.653,705.72,1.92%,2.00%,0.51%
HfMo,22.95313,497.133,124.167,138.197,248.489,157.5114,154.1641,155.8377,386.6791,0.240646,19.31099,0.01074,331.7393,0.627141,-20.4628,0.009045,Hf16Mo16C32,-654.81,734.5,3.88%,2.43%,0.40%
HfNb,23.6975,599.889,105.039,176.353,269.989,204.7818,199.2461,202.014,485.0624,0.200567,28.36456,0.013701,395.8046,0.74823,-20.8167,0.006503,Hf16Nb16C32,-666.136,758.32,1.40%,1.28%,0.05%
HfTa,23.62188,634.117,106.568,183.564,282.4177,215.6482,208.9837,212.316,509.3166,0.199431,29.53975,0.015695,414.7849,0.75178,-21.6848,0.009322,Hf16Ta16C32,-693.913,755.9,1.43%,1.27%,0.11%
HfTi,22.85281,488.445,116.191,163.535,240.2757,172.5718,171.8801,172.2259,417.0361,0.210724,24.12807,0.002008,342.6842,0.716785,-19.7736,0.008464,Hf16Ti16C32,-632.756,731.29,1.56%,1.22%,0.42%
HfV,21.765,486.863,109.345,157.902,235.1843,170.2448,168.9495,169.5971,410.1917,0.209312,24.0311,0.003819,333.7131,0.721124,-19.8097,0.05096,Hf16V16C32,-633.91,696.48,1.74%,1.74%,0.31%
HfW,22.95281,602.284,80.638,154.539,254.52,197.0526,184.6339,190.8433,458.0463,0.200059,27.31057,0.032536,371.5398,0.749816,-21.4281,0.009122,Hf16W16C32,-685.699,734.49,3.43%,2.81%,0.19%
HfZr,25.58875,477.973,108.45,162.032,231.6243,171.1238,170.418,170.7709,411.2456,0.204086,24.76462,0.002067,341.4081,0.737275,-20.2481,0.00538,Hf16Zr16C32,-647.939,818.84,1.40%,1.23%,0.49%
MoNb,21.77313,443.64,172.88,135.882,263.1333,135.6812,135.6808,135.681,347.3422,0.279996,14.01346,0.00000164,315.7433,0.515636,-20.1823,0.026262,Mo16Nb16C32,-645.832,696.74,4.17%,1.57%,0.38%
MoTa,21.80625,335.947,251.873,131.033,279.8977,95.4346,70.95003,83.19232,227.0792,0.364784,5.297893,0.147156,255.0575,0.297224,-21.0097,0.009457,Mo16Ta16C32,-672.31,697.8,5.69%,3.90%,0.60%
MoTi,20.52094,588.598,111.581,165.274,270.5867,194.5678,188.4153,191.4916,464.8242,0.213694,25.6343,0.016065,376.641,0.70769,-19.4336,0.009879,Mo16Ti16C32,-621.874,656.67,2.14%,1.89%,2.02%
MoV,19.49875,723.237,76.3083,160.61,291.9512,225.7517,201.1114,213.4315,514.8371,0.206094,28.72184,0.057724,409.5299,0.731052,-19.4637,0.032334,Mo16V16C32,-622.838,623.96,1.48%,4.84%,0.61%
MoZr,23.45438,488.99,105.745,138.408,233.4933,159.6938,155.7039,157.6988,386.1604,0.22436,21.18621,0.01265,324.655,0.675389,-19.6691,0.006924,Mo16Zr16C32,-629.41,750.54,1.77%,1.77%,0.15%
NbTi,21.47656,593.003,117.952,176.131,276.3023,200.6888,196.4411,198.5649,480.5733,0.210116,26.76479,0.010696,390.515,0.718651,-19.6899,0.008514,Nb16Ti16C32,-630.076,687.25,1.27%,1.20%,0.30%
NbZr,24.18313,563.271,106.711,166.595,258.8977,191.269,186.7838,189.0264,456.0812,0.206395,26.31753,0.011864,376.193,0.73012,-20.0129,0.006486,Nb16Zr16C32,-640.413,773.86,1.38%,1.28%,0.10%
TaTi,21.48438,633.108,112.716,189.495,286.18,217.7754,212.6025,215.189,516.1871,0.199381,29.82922,0.012019,413.7615,0.751936,-20.5753,0.008636,Ta16Ti16C32,-658.409,687.5,1.41%,1.28%,0.22%
TaZr,24.09375,604.715,104.469,172.299,271.2177,203.4286,196.7911,200.1098,481.8286,0.20391,27.72972,0.016585,395.9229,0.73782,-20.8833,0.005948,Ta16Zr16C32,-668.264,771,1.37%,1.27%,0.27%
TiV,19.08375,574.618,124.661,183.368,274.6467,200.0122,198.0176,199.0149,480.8902,0.208176,27.06109,0.005011,382.1852,0.724622,-18.8898,0.00912,Ti16V16C32,-604.474,610.68,1.52%,1.29%,0.25%
TiW,20.61125,642.075,110.586,176.218,287.749,212.0286,203.6627,207.8457,502.5396,0.208925,27.80489,0.020125,404.9438,0.722316,-20.4084,0.008724,Ti16W16C32,-653.068,659.56,1.83%,1.73%,0.55%
TiZr,23.39188,458.918,114.411,152.518,229.2467,160.4122,159.8435,160.1278,389.6585,0.216711,22.25177,0.001776,324.013,0.698496,-18.9408,0.008721,Ti16Zr16C32,-606.104,748.54,1.52%,1.24%,0.56%
VZr,22.31469,429.174,116.08,142.85,220.4447,148.3288,148.0308,148.1798,363.1673,0.225428,20.16331,0.001006,303.256,0.672186,-18.9757,0.03853,V16Zr16C32,-607.222,714.07,1.82%,1.72%,0.28%
WZr,23.42188,552.851,93.1313,148.027,246.3712,180.7601,172.6071,176.6836,427.7888,0.210607,24.58256,0.023073,352.9095,0.717144,-20.6378,0.007815,W16Zr16C32,-660.41,749.5,1.82%,1.92%,0.12%
Cr3C2,16.775,614.166,193.687,136.43,342,165.9538,158.7188,244,0,0.290782,14.88441,0.022284,372.4704,0.48626,-18.4048,0.0000425,CrC,-73.6192,67.1,1.00%,1.00%,1.00%
Hf,25.075,513.285,104.141,171.551,240.5223,184.7594,183.3919,184.0756,439.9845,0.195119,27.24786,0.003715,359.9836,0.765316,-21.0479,0,HfC,-84.1915,100.3,1.00%,1.00%,1.00%
Mo2C,20.8425,661.855,169.589,119.657,350,170.2474,150.6144,240,0,0.292808,14.57207,0.061188,383.8244,0.480796,-19.821,0.000003,MoC,-79.2839,83.37,1.00%,1.00%,1.00%
Nb,22.5125,656.154,123.623,169.504,301.1333,208.2086,198.334,203.2713,497.8044,0.224483,25.34191,0.024289,415.7396,0.675021,-20.5459,0.002593,NbC,-82.1836,90.05,1.00%,1.00%,1.00%
Ta,22.45,716.209,129.242,175.823,324.8977,222.8872,209.4038,216.1455,530.7408,0.22774,26.03387,0.03119,445.0913,0.665273,-22.2038,0.001312,TaC,-88.815,89.8,1.00%,1.00%,1.00%
Ti,20.355,514.513,116.56,168.831,249.211,180.8892,179.7224,180.3058,435.8129,0.208538,25.19003,0.003236,350.2679,0.723507,-18.7074,0.0000219,TiC,-74.8297,81.42,1.00%,1.00%,1.00%
V,17.9475,638.738,138.111,191.185,304.9867,214.8364,211.1345,212.9854,518.3048,0.216761,27.22489,0.008691,412.3975,0.698343,-19.077,0.000186,VC,-76.3079,71.79,1.00%,1.00%,1.00%
W,21.05,692.963,202.285,104.243,387,160.6814,135.388,279,0,0.321726,11.31464,0.085431,386.698,0.404638,-21.5541,0.000003,WC,-86.2164,84.2,1.00%,1.00%,1.00%
Zr,26.1325,465.174,102.073,153.776,223.1067,164.8858,163.7995,164.3427,395.8358,0.2043,24.07623,0.003305,329.859,0.73661,-19.4638,0.00000141,ZrC,-77.8551,104.53,1.00%,1.00%,1.00%
